name;socr;code;index;gninmb;uno;ocatd;status
Грезино;д;3700900003400;155101;3711;;24214835003;0
Грузниха;д;3700900003500;155120;3711;;24214830008;0
Гулиха;д;3700900003600;;3711;;24214830009;0
Детково;д;3700900003700;155101;3711;;24214835004;0
Деревеньки;д;3700900003800;155120;3711;;24214830010;0
Дориха;д;3700900003900;155120;3711;;24214830011;0
Доронькино;д;3700900004000;155116;3711;;24214865007;0
Дуброво;д;3700900004100;155125;3711;;24214865008;0
Дудино;д;3700900004200;;3711;;24214835005;0
Дьяково;д;3700900004300;155101;3711;;24214835007;0
Дюпово;д;3700900004400;155120;3711;;24214830012;0
Дягильково;д;3700900004500;155101;3711;;24214835006;0
Елхово;д;3700900004600;155122;3711;;24214810006;0
Есино;д;3700900004700;155101;3711;;24214835008;0
Ефремово;д;3700900004800;155125;3711;;24214865009;0
Жилкино;д;3700900004900;155125;3711;;24214870003;0
Житково;д;3700900005000;155110;3711;;24214860005;0
Жуковицы;д;3700900005100;155123;3711;;24214810018;0
Златоуст;с;3700900005200;155125;3711;;24214865010;0
Злотоуст;д;3700900005201;155116;3711;;24214000000;0
Игнатиха;д;3700900005300;155116;3711;;24214865011;0
Калинино;д;3700900005400;155122;3711;;24214810007;0
Клементьево;д;3700900005500;155111;3711;;24214830013;0
Кнутиха;д;3700900005600;155110;3711;;24214860007;0
Княжево;д;3700900005700;155111;3711;;24214830014;0
Княжово;д;3700900005701;155111;3711;;24214835000;0
